,0,val_loss
0,2,"{'hyper1': -10.036790492211, 'hyper2': 36.057144512793286}"
1,2,"{'hyper1': 18.559515344912406, 'hyper2': 7.892678735762928}"
2,2,"{'hyper1': -27.51850876460508, 'hyper2': -27.520438373103786}"
3,2,"{'hyper1': -35.35331102654404, 'hyper2': 29.294091661994813}"
4,2,"{'hyper1': 8.089200939456703, 'hyper2': 16.645806223683635}"
5,2,"{'hyper1': -38.353240456335804, 'hyper2': 37.592788172959544}"
6,2,"{'hyper1': 26.595411264033743, 'hyper2': -23.012871145737908}"
7,2,"{'hyper1': -25.45400262343195, 'hyper2': -25.327639211725295}"
8,2,"{'hyper1': -15.660620563236982, 'hyper2': 1.980514530579029}"
9,2,"{'hyper1': -5.444398508630741, 'hyper2': -16.701668784156645}"
10,2,"{'hyper1': 8.94823157779036, 'hyper2': -28.84049114783665}"
11,2,"{'hyper1': -16.628428117182548, 'hyper2': -10.691052536504664}"
12,2,"{'hyper1': -3.514401262637122, 'hyper2': 22.81407691144109}"
13,2,"{'hyper1': -24.026097427331223, 'hyper2': 1.1387550730889302}"
14,2,"{'hyper1': 7.393165508963399, 'hyper2': -36.28396698240018}"
15,2,"{'hyper1': 8.603588152115066, 'hyper2': -26.35807010501668}"
16,2,"{'hyper1': -34.79587256117764, 'hyper2': 35.910842980266665}"
17,2,"{'hyper1': 37.25056264596475, 'hyper2': 24.671787849316885}"
18,2,"{'hyper1': -15.630898466130347, 'hyper2': -32.18623087948929}"
19,2,"{'hyper1': 14.73864212097255, 'hyper2': -4.787800500831892}"
20,2,"{'hyper1': -30.236941212417694, 'hyper2': -0.38584719109838517}"
21,2,"{'hyper1': -37.24891831078253, 'hyper2': 32.74563216630257}"
22,2,"{'hyper1': -19.297601471998647, 'hyper2': 13.001782748318561}"
23,2,"{'hyper1': -15.063113912847122, 'hyper2': 1.605441694224865}"
24,2,"{'hyper1': 3.736822347462372, 'hyper2': -25.211643557957835}"
25,2,"{'hyper1': 37.56677022116469, 'hyper2': 22.010625868889164}"
26,2,"{'hyper1': 35.15991532513513, 'hyper2': 31.5861880342119}"
27,2,"{'hyper1': 7.83199830488681, 'hyper2': 33.74993880184934}"
28,2,"{'hyper1': -32.92059983584644, 'hyper2': -24.321371006468382}"
